Item,System,Failure observation,Repair time
Component 1,System 03,6/29/1991,24.28
Component 1,System 03,7/30/1991,22.94
Component 1,System 03,12/27/1991,29.90
Component 1,System 03,1/29/1992,26.17
Component 1,System 03,2/16/1992,27.10
Component 1,System 03,4/30/1992,21.68
Component 1,System 03,6/15/1992,28.24
Component 1,System 03,7/20/1992,29.39
Component 1,System 03,9/9/1992,25.24
Component 1,System 03,11/7/1992,20.26
Component 1,System 03,11/17/1992,25.13
Component 1,System 03,1/3/1993,24.01
Component 1,System 03,3/10/1993,25.91
Component 1,System 03,4/1/1993,20.74
Component 1,System 03,5/13/1993,29.19
Component 1,System 03,10/18/1993,27.04
Component 1,System 03,11/6/1993,20.38
Component 1,System 03,1/6/1994,28.32
Component 1,System 03,1/8/1994,21.91
Component 1,System 03,4/13/1994,29.22
Component 1,System 03,5/11/1994,27.68
Component 1,System 03,6/20/1994,23.17
Component 1,System 03,6/24/1994,29.03
Component 1,System 03,9/21/1994,23.51
Component 1,System 03,9/23/1994,29.88
Component 1,System 03,12/10/1994,24.93
Component 1,System 03,12/25/1994,28.79
Component 1,System 03,5/4/1995,27.19
Component 1,System 03,6/1/1995,21.93
Component 1,System 03,8/2/1995,20.10
Component 1,System 03,12/22/1995,20.84
Component 1,System 03,3/22/1996,28.44
Component 1,System 03,5/1/1996,26.82
Component 1,System 03,5/13/1996,20.78
Component 1,System 03,6/5/1996,29.45
Component 1,System 03,11/22/1996,25.26
Component 1,System 03,2/24/1997,22.34
Component 1,System 03,5/7/1997,22.72
Component 1,System 03,5/31/1997,24.83
Component 1,System 03,6/11/1997,24.57
Component 1,System 03,6/29/1997,29.50
Component 1,System 03,8/11/1997,20.54
Component 1,System 03,9/18/1997,26.14
Component 1,System 03,12/21/1997,28.45
Component 1,System 03,2/16/1998,29.46
Component 1,System 03,4/12/1998,29.67
Component 1,System 03,4/18/1998,22.90
Component 1,System 03,11/22/1998,29.48
Component 1,System 03,1/19/1999,25.43
Component 1,System 03,4/3/1999,25.00
Component 1,System 03,8/26/1999,25.36
Component 1,System 03,11/26/1999,27.36
Component 1,System 03,2/13/2000,27.77
Component 1,System 03,3/14/2000,24.66
Component 1,System 03,3/18/2000,22.68
Component 1,System 03,3/21/2000,23.96
Component 1,System 03,7/15/2000,22.26
Component 1,System 03,7/23/2000,21.90
Component 1,System 03,7/29/2000,23.73
Component 1,System 03,10/14/2000,24.81
Component 1,System 03,11/1/2000,20.26
Component 1,System 03,2/26/2001,27.26
Component 1,System 03,7/18/2002,27.47
Component 1,System 03,8/20/2002,25.48
Component 1,System 03,8/24/2002,29.30
Component 1,System 03,12/18/2002,27.55
Component 1,System 03,4/18/2003,20.45
Component 1,System 03,6/28/2003,23.25
Component 1,System 03,7/12/2003,24.55
Component 1,System 03,7/31/2003,24.02
Component 1,System 03,12/26/2003,24.82
Component 1,System 03,4/14/2004,26.29
Component 1,System 03,7/23/2004,27.20
Component 1,System 03,7/28/2004,28.25
Component 1,System 03,8/31/2004,25.96
Component 1,System 03,11/19/2004,27.91
Component 1,System 03,1/7/2005,29.81
Component 1,System 03,10/16/2005,23.81
Component 1,System 03,10/18/2005,25.98
Component 1,System 03,11/14/2005,23.61
Component 1,System 03,12/9/2005,27.37
Component 1,System 03,2/6/2006,26.67
Component 1,System 03,3/30/2006,23.66
Component 1,System 03,4/17/2006,25.65
Component 1,System 03,7/17/2006,29.96
Component 1,System 03,8/21/2006,27.41
Component 1,System 03,9/14/2006,29.82
Component 1,System 03,9/18/2006,26.93
Component 1,System 03,1/9/2007,23.69
Component 1,System 03,9/30/2007,26.06
Component 1,System 03,1/4/2008,21.99
Component 1,System 03,2/1/2008,29.40
Component 1,System 03,2/26/2008,24.90
Component 1,System 03,8/23/2008,27.72
Component 1,System 03,9/19/2008,28.36
Component 1,System 03,11/24/2008,22.87
Component 1,System 03,12/10/2008,22.63
Component 1,System 03,7/27/2009,24.06
Component 1,System 03,9/16/2009,21.57
Component 1,System 03,9/18/2009,26.20
Component 1,System 03,9/27/2009,20.92
Component 1,System 03,12/7/2009,27.52
Component 1,System 03,1/3/2010,29.65
Component 1,System 03,12/30/2010,23.63
Component 1,System 03,3/23/2011,27.85
Component 1,System 03,8/19/2011,23.68
Component 1,System 03,11/19/2011,20.86
Component 1,System 03,12/11/2011,21.56
Component 1,System 03,2/3/2012,29.07
Component 1,System 03,5/16/2012,26.36
Component 1,System 03,6/14/2012,29.88
Component 1,System 03,8/17/2012,22.94
Component 1,System 03,9/29/2012,24.83
Component 1,System 03,9/29/2012,26.91
Component 1,System 03,2/12/2013,24.89
Component 1,System 03,5/21/2013,22.46
Component 1,System 03,6/6/2013,24.88
Component 1,System 03,9/9/2013,24.36
Component 1,System 03,12/22/2013,23.20
Component 1,System 03,4/4/2015,28.88
Component 1,System 03,5/15/2015,26.72
Component 1,System 03,5/15/2015,21.60
Component 1,System 03,7/11/2015,23.11
Component 1,System 04,5/2/1990,28.66
Component 1,System 04,9/1/1990,26.47
Component 1,System 04,6/25/1991,29.09
Component 1,System 04,7/22/1991,20.52
Component 1,System 04,11/22/1991,29.62
Component 1,System 04,2/17/1992,21.35
Component 1,System 04,3/18/1992,26.21
Component 1,System 04,7/1/1992,28.11
Component 1,System 04,7/8/1992,20.34
Component 1,System 04,4/17/1993,26.74
Component 1,System 04,11/27/1993,20.76
Component 1,System 04,12/11/1993,24.46
Component 1,System 04,12/17/1993,27.87
Component 1,System 04,12/26/1993,26.34
Component 1,System 04,1/17/1994,23.77
Component 1,System 04,3/4/1994,27.54
Component 1,System 04,5/4/1994,27.59
Component 1,System 04,8/6/1994,20.76
Component 1,System 04,9/25/1994,26.61
Component 1,System 04,6/13/1995,20.85
Component 1,System 04,9/29/1995,29.35
Component 1,System 04,11/13/1995,22.80
Component 1,System 04,2/17/1996,28.92
Component 1,System 04,11/22/1996,26.14
Component 1,System 04,2/15/1997,26.34
Component 1,System 04,5/6/1997,28.83
Component 1,System 04,7/26/1997,29.61
Component 1,System 04,10/8/1997,24.41
Component 1,System 04,1/14/1998,27.05
Component 1,System 04,2/23/1998,22.08
Component 1,System 04,4/9/1998,23.43
Component 1,System 04,6/4/1998,28.13
Component 1,System 04,6/9/1998,26.76
Component 1,System 04,9/2/1998,23.67
Component 1,System 04,9/25/1998,26.93
Component 1,System 04,4/25/1999,21.39
Component 1,System 04,5/11/1999,20.74
Component 1,System 04,7/2/1999,25.23
Component 1,System 04,7/3/1999,24.72
Component 1,System 04,8/29/1999,28.13
Component 1,System 04,9/8/1999,27.98
Component 1,System 04,1/25/2000,26.31
Component 1,System 04,3/9/2000,22.08
Component 1,System 04,3/21/2000,28.66
Component 1,System 04,3/24/2000,26.47
Component 1,System 04,4/8/2000,25.30
Component 1,System 04,6/4/2000,20.30
Component 1,System 04,6/11/2000,25.37
Component 1,System 04,7/8/2000,29.66
Component 1,System 04,8/24/2000,29.05
Component 1,System 04,9/29/2000,28.40
Component 1,System 04,12/5/2000,25.73
Component 1,System 04,12/28/2000,27.01
Component 1,System 04,9/13/2001,27.03
Component 1,System 04,9/21/2001,21.81
Component 1,System 04,11/14/2001,29.60
Component 1,System 04,3/7/2002,22.17
Component 1,System 04,6/22/2002,24.31
Component 1,System 04,10/22/2002,23.08
Component 1,System 04,12/3/2002,21.44
Component 1,System 04,8/17/2004,21.46
Component 1,System 04,11/3/2004,23.26
Component 1,System 04,4/6/2005,23.49
Component 1,System 04,8/15/2005,22.57
Component 1,System 04,8/17/2005,28.30
Component 1,System 04,9/2/2005,28.42
Component 1,System 04,3/17/2006,28.88
Component 1,System 04,4/19/2006,25.84
Component 1,System 04,7/25/2006,26.85
Component 1,System 04,10/26/2006,29.37
Component 1,System 04,10/28/2006,21.53
Component 1,System 04,12/28/2006,27.97
Component 1,System 04,3/17/2007,21.86
Component 1,System 04,3/21/2007,24.49
Component 1,System 04,3/25/2007,25.13
Component 1,System 04,4/6/2007,26.49
Component 1,System 04,7/23/2007,22.57
Component 1,System 04,11/25/2007,21.81
Component 1,System 04,3/4/2008,24.82
Component 1,System 04,10/23/2008,22.67
Component 1,System 04,11/19/2008,21.25
Component 1,System 04,6/3/2009,22.56
Component 1,System 04,6/9/2009,23.21
Component 1,System 04,8/13/2009,27.07
Component 1,System 04,8/15/2009,24.75
Component 1,System 04,10/21/2009,25.70
Component 1,System 04,12/3/2009,28.72
Component 1,System 04,12/13/2009,28.80
Component 1,System 04,1/31/2010,26.96
Component 1,System 04,2/3/2010,29.82
Component 1,System 04,2/25/2010,25.06
Component 1,System 04,3/23/2010,28.97
Component 1,System 04,7/14/2010,20.91
Component 1,System 04,11/21/2010,26.50
Component 1,System 04,1/12/2011,20.09
Component 1,System 04,1/29/2011,28.87
Component 1,System 04,3/13/2011,21.27
Component 1,System 04,5/13/2011,27.71
Component 1,System 04,5/24/2011,27.74
Component 1,System 04,6/2/2011,21.96
Component 1,System 04,7/13/2011,28.14
Component 1,System 04,7/19/2011,21.08
Component 1,System 04,12/11/2011,29.80
Component 1,System 04,12/29/2011,24.10
Component 1,System 04,1/20/2012,20.82
Component 1,System 04,2/17/2012,26.02
Component 1,System 04,3/30/2012,29.89
Component 1,System 04,4/19/2012,26.52
Component 1,System 04,4/23/2012,25.46
Component 1,System 04,8/18/2012,26.10
Component 1,System 04,11/25/2012,27.92
Component 1,System 04,12/30/2012,23.47
Component 1,System 04,2/20/2013,21.93
Component 1,System 04,6/22/2014,22.76
Component 1,System 04,7/28/2014,24.52
Component 1,System 04,8/22/2014,21.70
Component 1,System 04,10/27/2014,23.11
Component 1,System 04,3/27/2015,23.22
Component 1,System 04,5/25/2015,22.20
Component 1,System 04,7/9/2015,20.26
Component 1,System 04,7/17/2015,23.70
Component 1,System 04,11/16/2015,25.86
Component 1,System 04,11/17/2015,29.04
Component 1,System 04,12/28/2015,21.91
Component 1,System 05,5/7/1990,26.90
Component 1,System 05,6/16/1990,23.06
Component 1,System 05,10/5/1990,29.03
Component 1,System 05,10/12/1990,22.61
Component 1,System 05,10/27/1990,28.90
Component 1,System 05,10/29/1990,23.13
Component 1,System 05,12/16/1990,24.80
Component 1,System 05,12/25/1990,27.13
Component 1,System 05,1/28/1991,28.59
Component 1,System 05,2/7/1991,22.38
Component 1,System 05,2/22/1991,21.11
Component 1,System 05,3/19/1991,25.03
Component 1,System 05,5/4/1991,26.99
Component 1,System 05,8/14/1991,29.64
Component 1,System 05,1/16/1992,23.50
Component 1,System 05,2/2/1992,23.55
Component 1,System 05,12/7/1992,20.17
Component 1,System 05,3/20/1993,24.17
Component 1,System 05,3/24/1993,23.52
Component 1,System 05,6/11/1993,22.77
Component 1,System 05,6/15/1993,20.09
Component 1,System 05,7/8/1993,20.53
Component 1,System 05,7/17/1993,22.94
Component 1,System 05,10/8/1993,21.35
Component 1,System 05,10/18/1993,24.54
Component 1,System 05,11/22/1993,20.34
Component 1,System 05,10/5/1994,20.76
Component 1,System 05,10/13/1994,29.33
Component 1,System 05,11/19/1994,21.93
Component 1,System 05,1/9/1995,22.52
Component 1,System 05,2/26/1995,29.11
Component 1,System 05,3/8/1995,23.06
Component 1,System 05,4/25/1995,22.12
Component 1,System 05,8/20/1995,24.18
Component 1,System 05,10/26/1995,22.75
Component 1,System 05,4/28/1996,25.72
Component 1,System 05,5/19/1996,20.66
Component 1,System 05,7/16/1996,29.66
Component 1,System 05,8/26/1996,21.40
Component 1,System 05,1/5/1997,23.78
Component 1,System 05,2/12/1997,29.84
Component 1,System 05,4/28/1997,21.68
Component 1,System 05,8/6/1997,29.34
Component 1,System 05,11/25/1997,24.56
Component 1,System 05,2/8/1998,23.65
Component 1,System 05,3/6/1998,22.01
Component 1,System 05,7/5/1998,26.25
Component 1,System 05,10/3/1998,24.78
Component 1,System 05,12/5/1998,28.03
Component 1,System 05,4/23/1999,26.23
Component 1,System 05,5/26/1999,21.80
Component 1,System 05,6/20/1999,25.98
Component 1,System 05,7/11/1999,28.93
Component 1,System 05,7/17/1999,28.71
Component 1,System 05,7/19/1999,28.45
Component 1,System 05,8/28/1999,23.45
Component 1,System 05,12/12/1999,29.87
Component 1,System 05,12/19/1999,27.89
Component 1,System 05,2/7/2000,20.38
Component 1,System 05,7/2/2000,29.93
Component 1,System 05,7/7/2000,29.11
Component 1,System 05,10/11/2000,29.75
Component 1,System 05,1/17/2001,21.46
Component 1,System 05,6/7/2001,27.30
Component 1,System 05,8/13/2001,27.68
Component 1,System 05,8/15/2001,22.89
Component 1,System 05,8/17/2001,20.94
Component 1,System 05,10/26/2001,20.10
Component 1,System 05,12/6/2001,20.07
Component 1,System 05,12/10/2001,28.80
Component 1,System 05,2/21/2002,21.07
Component 1,System 05,3/25/2002,27.84
Component 1,System 05,7/19/2002,27.94
Component 1,System 05,8/26/2002,28.84
Component 1,System 05,9/1/2002,29.88
Component 1,System 05,9/19/2002,28.60
Component 1,System 05,9/19/2002,24.47
Component 1,System 05,12/8/2002,28.51
Component 1,System 05,4/7/2003,27.27
Component 1,System 05,8/18/2003,25.84
Component 1,System 05,9/30/2003,29.61
Component 1,System 05,10/8/2003,23.55
Component 1,System 05,12/11/2003,27.00
Component 1,System 05,7/4/2004,26.92
Component 1,System 05,8/13/2004,25.06
Component 1,System 05,4/8/2005,29.59
Component 1,System 05,7/16/2005,28.29
Component 1,System 05,8/7/2005,27.41
Component 1,System 05,10/11/2005,26.63
Component 1,System 05,1/14/2006,25.18
Component 1,System 05,3/15/2006,21.73
Component 1,System 05,3/24/2006,27.90
Component 1,System 05,4/15/2006,26.28
Component 1,System 05,7/19/2006,22.18
Component 1,System 05,8/19/2006,24.99
Component 1,System 05,8/31/2006,21.73
Component 1,System 05,11/5/2006,29.45
Component 1,System 05,5/17/2007,20.51
Component 1,System 05,12/13/2007,21.08
Component 1,System 05,12/14/2007,28.70
Component 1,System 05,3/24/2008,22.62
Component 1,System 05,6/20/2008,27.44
Component 1,System 05,8/19/2008,21.32
Component 1,System 05,9/21/2008,20.03
Component 1,System 05,11/7/2008,28.91
Component 1,System 05,12/15/2008,22.79
Component 1,System 05,3/20/2009,26.39
Component 1,System 05,5/28/2009,21.02
Component 1,System 05,11/21/2009,20.61
Component 1,System 05,2/6/2010,21.99
Component 1,System 05,3/5/2010,25.07
Component 1,System 05,4/4/2010,20.78
Component 1,System 05,7/12/2010,24.52
Component 1,System 05,12/5/2010,28.98
Component 1,System 05,1/6/2011,20.42
Component 1,System 05,1/27/2011,23.48
Component 1,System 05,3/14/2011,29.89
Component 1,System 05,3/29/2011,25.79
Component 1,System 05,7/20/2011,25.54
Component 1,System 05,11/17/2011,25.92
Component 1,System 05,12/3/2011,20.17
Component 1,System 05,5/16/2012,23.93
Component 1,System 05,8/22/2012,29.57
Component 1,System 05,9/27/2012,29.69
Component 1,System 05,9/29/2012,23.61
Component 1,System 05,10/3/2012,29.28
Component 1,System 05,11/8/2012,23.34
Component 1,System 05,11/14/2012,29.97
Component 1,System 05,2/18/2013,24.70
Component 1,System 05,4/7/2013,22.38
Component 1,System 05,4/14/2013,28.00
Component 1,System 05,4/27/2013,25.28
Component 1,System 05,5/12/2013,28.78
Component 1,System 05,6/23/2013,26.28
Component 1,System 05,9/5/2013,23.08
Component 1,System 05,9/20/2013,28.58
Component 1,System 05,9/26/2013,23.75
Component 1,System 05,10/19/2013,23.16
Component 1,System 05,11/1/2013,24.83
Component 1,System 05,1/28/2014,20.84
Component 1,System 05,2/18/2014,24.45
Component 1,System 05,3/2/2014,20.91
Component 1,System 05,10/26/2014,26.62
Component 1,System 05,12/23/2014,24.04
Component 1,System 05,1/3/2015,25.39
Component 1,System 05,5/21/2015,21.55
Component 1,System 05,8/4/2015,20.55
Component 1,System 05,11/14/2015,27.37
Component 1,System 05,12/23/2015,24.20
Component 1,System 06,3/29/1990,28.96
Component 1,System 06,4/10/1990,21.11
Component 1,System 06,6/12/1990,25.55
Component 1,System 06,7/6/1990,22.59
Component 1,System 06,5/30/1991,25.01
Component 1,System 06,8/14/1991,21.56
Component 1,System 06,9/3/1991,27.14
Component 1,System 06,9/23/1991,26.00
Component 1,System 06,1/6/1992,20.36
Component 1,System 06,1/29/1992,22.49
Component 1,System 06,9/22/1992,22.98
Component 1,System 06,11/8/1992,28.56
Component 1,System 06,6/8/1993,26.93
Component 1,System 06,7/9/1993,24.31
Component 1,System 06,10/1/1993,28.35
Component 1,System 06,10/31/1993,24.13
Component 1,System 06,1/15/1994,26.95
